Building Name,ADDRESS
DAVENPORT HALL,607 S. MATHEWS URBANA IL
"ART-EAST ANNEX, STUDIO 2",1301 S. GOODWIN URBANA IL
HARDING BAND BUILDING,1103 S. SIXTH CHAMPAIGN IL
GYM ANNEX,1402 W. SPRINGFIELD URBANA IL
ARMORY,505 E. ARMORY CHAMPAIGN IL
FOELLINGER AUDITORIUM,709 S. MATHEWS URBANA IL
AGRICULTURAL ENGR SCIENCES BLDG,1304 W. PENNSYLVANIA URBANA IL
ELECTRICAL ENGR ANNEX,104 S. BURRILL AVE. URBANA IL
CHEMISTRY ANNEX,601 S. MATHEWS URBANA IL
CERAMICS KILN HOUSE,107 S. GOODWIN URBANA IL
NOYES LABORATORY OF CHEMISTRY,505 S. MATHEWS URBANA IL
TALBOT LABORATORY,104 S. WRIGHT URBANA IL
ICE ARENA,406 E. ARMORY CHAMPAIGN IL
ENGINEERING HALL,1308 W. GREEN URBANA IL
ELECTRICAL ENGR RES LAB,106 S. BURRILL AVE. URBANA IL
ADVANCED COMPUTATION BLDG,1011 W. SPRINGFIELD URBANA IL
"ART-EAST ANNEX, STUDIO 1",1208 PEABODY DR. URBANA IL
ORNAMENTAL HORTICULTURE BUILDING,1107 W. DORNER URBANA IL
PHYSIOLOGY RESEARCH LABORATORY,301 E. HAZELWOOD CHAMPAIGN IL
KENNEY GYMNASIUM,1406 W. SPRINGFIELD URBANA IL
"GREENHOUSE, NORTH",105 S. BURRILL AVE. URBANA IL
ILLINI UNION,1401 W. GREEN URBANA IL
NEWMARK CIVIL ENGINEERING BUILDING,205 N. MATHEWS URBANA IL
HARKER HALL,1305 W. GREEN URBANA IL
ALTGELD HALL,1409 W. GREEN URBANA IL
LINCOLN HALL,702 S. WRIGHT URBANA IL
AERONAUTICAL LABORATORY A,101 S. GOODWIN URBANA IL
MECHANICAL ENGINEERING LABORATORY,105 S. MATHEWS URBANA IL
AERO LAB B,102 S. BURRILL AVE. URBANA IL
DYNAMICS TESTING LABORATORY,609 E. CURTIS RD. CHAMPAIGN IL
NATURAL HISTORY BUILDING,1301 W. GREEN URBANA IL
OBSERVATORY,901 S. MATHEWS URBANA IL
MATERIALS SCIENCE AND ENG BLDG,1304 W. GREEN URBANA IL
VEGETABLE CROPS BUILDING,1103 W. DORNER URBANA IL
ENGINEERING RESEARCH LAB,103 S. MATHEWS AVE. URBANA IL
EVERITT ELEC & COMP ENGR LAB,1406 W. GREEN URBANA IL
FIRE STATION,1306 W. GREEN URBANA IL
MUSIC BUILDING,1114 W. NEVADA URBANA IL
STOCK PAVILION,1402 W. PENNSYLVANIA URBANA IL
LIBRARY,1408 W. GREGORY URBANA IL
TRANSPORTATION BUILDING,104 S. MATHEWS URBANA IL
GREGORY HALL,810 S. WRIGHT URBANA IL
ENGLISH BUILDING,608 S. WRIGHT URBANA IL
WOODSHOP & FOUNDRY,102 N. BURRILL AVE URBANA IL
HENRY ADMINISTRATION BUILDING,506 S. WRIGHT URBANA IL
HALFWAY HOUSE,S. MATHEWS AVE CHAMPAIGN IL
NUCLEAR RADIATION LABORATORY,201 S. GOODWIN URBANA IL
FILTRATION PLANT,1305 W. SPRINGFIELD URBANA IL
ARCHITECTURE BUILDING,608 E. LORADO TAFT CHAMPAIGN IL
BOTANY ANNEX & GRNHS,102 N. MATHEWS AVE. URBANA IL
KRANNERT CENTER FOR PERFORMING ARTS,500 S. GOODWIN URBANA IL
FIRE STATION GARAGE,1304 1/2 W. GREEN ST. URBANA IL
DAVID KINLEY HALL,1407 W. GREGORY URBANA IL
CERAMICS BUILDING,105 S. GOODWIN URBANA IL
SHELFORD VIVARIUM,606 E. HEALY CHAMPAIGN IL
ANIMAL GENETICS BUILDING,1301 W. LORADO TAFT URBANA IL
HUFF HALL,1206 S. FOURTH CHAMPAIGN IL
SURVEYING BUILDING,607 E. GREGORY CHAMPAIGN IL
SMITH MEMORIAL HALL,805 S. MATHEWS URBANA IL
UNIVERSITY HIGH SCHOOL,1212 W. SPRINGFIELD URBANA IL
CHILD DEVELOPMENT LABORATORY,1105 W. NEVADA URBANA IL
UNIVERSITY HIGH SCHOOL GYMNASIUM,1207 W. STOUGHTON URBANA IL
FREER HALL,906 S. GOODWIN URBANA IL
ILLINI HALL,725 S. WRIGHT CHAMPAIGN IL
SEITZ MATERIALS RESEARCH LAB,104 S. GOODWIN URBANA IL
LOOMIS LABORATORY OF PHYSICS,1110 W. GREEN ST. URBANA IL
HORTICULTURE FIELD LABORATORY,1707 S. ORCHARD URBANA IL
MUMFORD HALL,1301 W. GREGORY URBANA IL
CHEMICAL & LIFE SCIENCES LABORATORY,601 S. GOODWIN URBANA IL
STUDENT SERVICES ARCADE BUILDING,713 S. WRIGHT CHAMPAIGN IL
MEMORIAL STADIUM,1400 S. FIRST CHAMPAIGN IL
AGRICULTURAL BIOPROCESS LAB,1302 W. PENNSYLVANIA URBANA IL
INST GOV & PUBLIC AFFAIRS BLDG,1007 W. NEVADA URBANA IL
CHILDREN'S RESEARCH CENTER,51 E. GERTY CHAMPAIGN IL
PSYCHOLOGY LABORATORY,603 E. DANIEL CHAMPAIGN IL
PLANT SERVICES BUILDING-NORTHEAST,1005 W. WESTERN URBANA IL
1207 W. SPRINGFIELD,1207 W. SPRINGFIELD URBANA IL
ALICE CAMPBELL ALUMNI CENTER,601 S LINCOLN URBANA IL
SUPERCONDUCTIVITY CENTER,100 S. GOODWIN URBANA IL
"C-7 PARKING STRUCTURE, STUDENT STAFF",517 E. JOHN STREET CHAMPAIGN IL
UNIVERSITY POLICE,101 N. MATHEWS AVE. URBANA IL
UNDERGRADUATE LIBRARY,1402 W. GREGORY URBANA IL
PRESIDENT'S HOUSE,800 W. FLORIDA URBANA IL
BLAISDELL HALL,901 W. PENNSYLVANIA URBANA IL
SAUNDERS HALL,902 COLLEGE COURT URBANA IL
BABCOCK HALL,1002 COLLEGE COURT URBANA IL
CARR HALL,1001 W. PENNSYLVANIA URBANA IL
PENNSYLVANIA LOUNGE BUILDING,906 W. COLLEGE CT. URBANA IL
ILLINI UNION BOOKSTORE,807/809 S. WRIGHT CHAMPAIGN IL
ENVIRONMENTAL RESEARCH ANNEX,1009 W. WESTERN URBANA IL
COMPUTING APPLICATIONS BUILDING,605 E. SPRINGFIELD CHAMPAIGN IL
NATURAL RESOURCES BUILDING,607 E. PEABODY CHAMPAIGN IL
NUCLEAR PHYSICS LABORATORY,25 E. STADIUM DR. CHAMPAIGN IL
BUSEY HALL,1111 W. NEVADA URBANA IL
MECHANICAL ENGINEERING BUILDING,1206 W. GREEN URBANA IL
DAVENPORT HOUSE,807 S. WRIGHT ST. CHAMPAIGN IL
POMOLOGY GREENHOUSE-HORT FIELD LAB,1803 S. ORCHARD URBANA IL
EVANS HALL,1115 W. NEVADA URBANA IL
ROGER ADAMS LABORATORY,600 S. MATHEWS URBANA IL
NUCLEAR ENGINEERING LABORATORY,103 S. GOODWIN URBANA IL
ACTIVITIES & RECREATION CENTER,201 E. PEABODY CHAMPAIGN IL
"203 S GREGORY, URBANA",203 S. GREGORY URBANA IL
ABBOTT POWER PLANT,1117 S. OAK CHAMPAIGN IL
FSI - FIREMANSHIP TRAINING FACILITIES,11 GERTY DR. CHAMPAIGN IL
RADIO TRANSMITTER STATION,2520 S. FIRST ST. RD. CHAMPAIGN IL
NATIONAL SOYBEAN RESEARCH CENTER,1101 W. PEABODY URBANA IL
MUMFORD HOUSE,1403 W. LORADO TAFT URBANA IL
LEVIS FACULTY CENTER,919 W. ILLINOIS URBANA IL
GEOLOGICAL SURVEY LABORATORY,1116 S. OAK CHAMPAIGN IL
"810 S SIXTH, CHAMPAIGN",810 S. SIXTH CHAMPAIGN IL
COBLE HALL,801 S. WRIGHT CHAMPAIGN IL
TURNER HALL GREENHOUSES,1102 S. GOODWIN URBANA IL
NATURAL RESOURCES GARAGE,608 E. PENNSYLVANIA CHAMPAIGN IL
NATURAL HISTORY SURVEY GREENHOUSE,614 E. PENNSYLVANIA CHAMPAIGN IL
1201 W. CALIFORNIA,1201 W. CALIFORNIA URBANA IL
"STUDENT-STAFF APTS-300 S GOODWIN, U",300 S. GOODWIN URBANA IL
"STUDENT STAFF APTS #2- 1107 GREEN ST., U",1107 W. GREEN URBANA IL
BURRILL HALL,407 S. GOODWIN URBANA IL
"1202 W GREEN, URBANA",1202 W. GREEN URBANA IL
"ILLINOIS SIMULATOR LABORATORY, BECKMAN INSTITUTE",2100 S. GOODWIN URBANA IL
LINCOLN AVENUE RESIDENCE HALL,1005 S. LINCOLN URBANA IL
ALLEN RESIDENCE HALL,1005 W. GREGORY URBANA IL
"608 S MATHEWS, URBANA",608 S. MATHEWS URBANA IL
DALKEY ARCHIVE PRESS (PSSB),1805 S. WRIGHT STREET CHAMPAIGN IL
"1205 1/2 W NEVADA, URBANA",1205 1/2 W. NEVADA URBANA IL
"1205 W NEVADA, URBANA",1205 W. NEVADA URBANA IL
1205 W. CALIFORNIA,1205 W. CALIFORNIA URBANA IL
COORDINATED SCIENCE LABORATORY,1308 W. MAIN ST. URBANA IL
COMMERCE ANNEX,1407 W. LORADO TAFT URBANA IL
"1208 W SPRINGFIELD, URBANA",1208 W. SPRINGFIELD URBANA IL
